clause,label,source_policy
"Close Window Select Language English Nederlands Deutsch Francais Espanol Italiano Portuguese æ—¥æœ¬èªž Priceline.com LLC Web Site Terms & Conditions Agreement between User and priceline.com LLC Priceline.com is owned and operated by priceline.com LLC (""priceline.com"", ""Priceline"", or ""we"").",none,priceline_TOS
"This agreement describes the terms and conditions applicable to the services available on or through the Priceline website, mobile website, and mobile and tablet applications (collectively referred to as the ""Site""), and details your responsibilities, thereby limiting the liability of priceline.com and its third-party suppliers.",data_sharing,priceline_TOS
"These suppliers include, without limitation, the airlines, hotels, rental car companies and other suppliers that provide travel or other services through this Site (such third parties collectively referred to as the ""Travel Service Providers"").",none,priceline_TOS
"The Site is intended for personal, noncommercial use.",none,priceline_TOS
"BEFORE submitting an account registration form and/or using any of the services on the Site, please read this Agreement carefully.",none,priceline_TOS
"By accessing any area of this Site, users (""users"" or ""you"") agree to be legally bound without limitation, qualification, or change and to abide by these Terms and Conditions, which will constitute our agreement (""Agreement"").",none,priceline_TOS
"You should also read our Privacy Policy, which governs your use of this Site and is referenced in this agreement.",none,priceline_TOS
"If you do not agree with any part of this Agreement, you must discontinue use of this Site.",none,priceline_TOS
"Priceline reserves the right, in its sole discretion, to amend, modify, or alter this Agreement at any time by posting the amended terms on this Site.",none,priceline_TOS
We recommend that you review these Terms and Conditions periodically.,none,priceline_TOS
The amended terms shall be effective from and after the date that they are posted on the Site.,none,priceline_TOS
Additional terms may apply when you book services or participate in sweepstakes or other promotions available on priceline.com.,none,priceline_TOS
Table of Contents PART I: Legal Action Arbitration and Dispute Resolution Disclaimer of Warranties General Limitation of Liability Indemnification and Chargebacks Trademark and Copyright Notice Claims of Copyright Infringement PART II: Acceptable Use of the Site PART III: User Rights and Responsibilities PART IV: Travel Services General Airlines Hotels Rental Cars Cruises Vacation Package PART V: Miscellaneous and Registrations Legal Action Arbitration and Dispute Resolution Disputes and Arbitration Priceline is committed to customer satisfaction.,arbitration,priceline_TOS
"If you have a problem or dispute, we will try to resolve it.",none,priceline_TOS
"If we are unsuccessful, you may pursue your claim as explained in this section.",none,priceline_TOS
"You agree to give us an opportunity to resolve any problem, dispute, or claim relating in any way to the Sites and/or any of its related applications or services; any dealings with Priceline, including with our marketing and customer service agents; the purchase, use, or performance of any services or products available through this Site; any representations made by Priceline; or our Privacy Policy (collectively, â€œClaimsâ€) by providing Notice to Customer Support.",none,priceline_TOS
"Unless prohibited by applicable law, any Claim must be brought within two (2) years from the date on which such Claim arose or accrued.",none,priceline_TOS
"If we are unable to resolve your Claims within 60 days of receipt, you may seek relief through arbitration or small claims court, as set forth below.",none,priceline_TOS
This informal process is a condition precedent to your ability to initiate a claim in arbitration or small claims court.,none,priceline_TOS
"This Agreement shall be governed by the laws of the State of Connecticut, United States of America, without regard to conflict of laws.",none,priceline_TOS
"All Claims or other matters in dispute between you or any Third- party and Priceline, its subsidiaries or affiliates, or any travel service providers or companies offering products or services through the Site, whether based upon contract, tort, statute, or otherwise, shall be governed by the laws of the State of Connecticut, without regard to conflict of laws provisions that would result in the application of the laws of any other jurisdiction.",none,priceline_TOS
Mandatory Arbitration Please read this provision carefully.,none,priceline_TOS
"It requires that any and all claims must be resolved by binding arbitration or in small claims court, and it prevents you from pursuing a class action or similar proceeding in any forum.",arbitration,priceline_TOS
"These limitations apply to any claims against Priceline, its subsidiaries or affiliates, any travel service providers or companies offering products or services through the Site.",none,priceline_TOS
"In arbitration, a dispute is resolved by an arbitrator instead of a judge or jury.",none,priceline_TOS
"The arbitratorâ€™s decision will generally be final and binding, with no right of appeal.",none,priceline_TOS
Arbitration procedures are simpler and more limited than court procedures.,none,priceline_TOS
"By using this Site, you, any Third-party, and Priceline agree that any Claim, including claims regarding the applicability or validity of this arbitration provision, shall be resolved exclusively by final and binding arbitration administered by the American Arbitration Association (""AAA"") and conducted before a single arbitrator pursuant to the then applicable Rules and Procedures established by AAA (""Rules and Procedures""), except that, pursuant to subsection (e) below, under no circumstances may any claim be brought or arbitrated as a class action or proceed on a basis involving claims brought on a purported representative capacity (either on behalf of the general public or other users or persons, except that the arbitrator shall have the authority to award public injunctive relief where applicable).",data_sharing,priceline_TOS
