clause,label,source_policy
"Privacy Policy For a list of supplements to this Privacy Policy, click here.",none,airbnb_privacy
"Last Updated: February 6, 2025 Airbnb exists to help build connections between people and make the world more open and inclusive.",none,airbnb_privacy
In short—to build a world where anyone can belong anywhere.,none,airbnb_privacy
A fundamental part of earning that trust means being clear about how we use your information and protecting your human right to privacy.,none,airbnb_privacy
"This Privacy Policy describes how Airbnb, Inc.",none,airbnb_privacy
"and its affiliates (""we,"" ""us,"" or ""Airbnb""), process personal information in relation to your use of the Airbnb Platform.",none,airbnb_privacy
"Depending on where you live and what you are doing on the Airbnb Platform, the supplemental privacy pages listed below may apply to you.",none,airbnb_privacy
Please follow the links and review the supplemental information describing how we process personal information for those regions and services.,none,airbnb_privacy
"If you reside outside of the United States, but not in Brazil or China, such as in the European Economic Area (“EEA”), visit our “Outside of the United States” page for important supplemental information that may apply to you.",none,airbnb_privacy
"If you reside in the United States, visit our “United States Supplement” page for important supplemental information that may apply to you.",none,airbnb_privacy
"If you reside in Brazil, visit our “Brazil Supplement” page for important supplemental information that may apply to you.",none,airbnb_privacy
"If you reside in the People’s Republic of China, which for purposes of this Privacy Policy does not include Hong Kong, Macau, and Taiwan (""China""), visit our ""Privacy Supplement for China Users"" page for important information that may apply to you.",none,airbnb_privacy
How We Use the Information We Collect 4.,none,airbnb_privacy
Third-Party Partners and Integrations 6.,data_sharing,airbnb_privacy
Changing Your Country or State of Residence 7.,none,airbnb_privacy
Contact Information and Responsible Airbnb Entities 12.,none,airbnb_privacy
"Where this Policy mentions ""Airbnb,"" ""we,"" ""us,"" or ""our,"" it refers to the Airbnb company that is responsible for your information under this Privacy Policy (the ""Controller"").",none,airbnb_privacy
The designated Controller is set out in Schedule 1.,none,airbnb_privacy
"This Privacy Policy also applies to the Payment Services provided to you by Airbnb Payments pursuant to the Payments Terms of Service (""Payments Terms"").",none,airbnb_privacy
"When using the Payment Services, you will also be providing your personal information to one or more Airbnb Payments entities (the ""Payments Controller"" as outlined in Schedule 1), which will be responsible for your information related to the Payment Services, generally depending on your country of residence.",none,airbnb_privacy
As further defined in the applicable document referenced in the Insurance Supplement.,none,airbnb_privacy
2.1 Information Needed to Use the Airbnb Platform.,none,airbnb_privacy
We collect personal information about you when you use the Airbnb Platform.,none,airbnb_privacy
"Without it, we may not be able to provide all services requested.",none,airbnb_privacy
"This information includes: 2.1.1 Contact, Account, and Profile Information.",none,airbnb_privacy
"Such as your first name, last name, phone number, postal address, email address, date of birth, and profile photo, some of which will depend on the features you use.",none,airbnb_privacy
