clause,label,source_policy
"Privacy Center Privacy Policy Updating on Dec 16, 2025 We’ll start using interactions with AIs to personalize experiences and ads.",none,meta_privacy
"This update goes into effect on December 16, 2025.",none,meta_privacy
What is the Privacy Policy and what does it cover?,none,meta_privacy
"Effective June 16, 2025 |  | Read the  for more details about how we handle Personal Information and how to exercise your rights.",none,meta_privacy
"We at Meta want you to understand what information we collect, and how we use and share it.",none,meta_privacy
That’s why we encourage you to read our Privacy Policy.,none,meta_privacy
This helps you use  in the way that’s right for you.,none,meta_privacy
"In the Privacy Policy, we explain how we collect, use, share, retain and transfer information.",none,meta_privacy
Each section of this Policy includes helpful examples and simpler language to make our practices easier to understand.,none,meta_privacy
We’ve also added links to resources where you can learn more about the privacy topics that interest you.,none,meta_privacy
"It's important to us that you know how to control your privacy, so we also show you where you can manage your information in the settings of the Meta Products you use.",none,meta_privacy
The information we collect and process about you depends on how you use our .,none,meta_privacy
"For example, we collect different information if you sell furniture on Marketplace than if you post a reel on Instagram.",none,meta_privacy
"When you use our Products, we collect some information about you .",none,meta_privacy
Here's the information we collect: What if you don’t let us collect certain information?,none,meta_privacy
Some information is required for our Products to work.,none,meta_privacy
"Other information is optional, but without it, the quality of your experience might be affected.",none,meta_privacy
What if the information we collect doesn’t identify individuals?,none,meta_privacy
"In some cases information is de-identified, aggregated, or anonymized by third parties so that it no longer identifies individuals before it’s made available to us.",none,meta_privacy
We use this information as described below without trying to re-identify individuals.,none,meta_privacy
Take control How do we use your information?,none,meta_privacy
"We use  to provide a personalized experience to you, including ads, along with the other purposes we explain in detail below.",none,meta_privacy
"For some of these purposes, we use information  and .",none,meta_privacy
The information we use for these purposes is automatically processed by our systems.,none,meta_privacy
"But in some cases, we also use  to access and review your information.",none,meta_privacy
"To use less information that’s connected to individual users, in some cases we de-identify or aggregate information or anonymize it so that it no longer identifies you.",none,meta_privacy
We use this information in the same ways we use your information as described in this section.,none,meta_privacy
"Here are the ways we use your information: To provide, personalize and improve our Products We use information we have to provide and improve our .",none,meta_privacy
"This includes personalizing features, content and , such as your , , Stories and ads.",none,meta_privacy
"We use  you choose to provide for these purposes, but not to show you ads.",none,meta_privacy
"Read more about how we use information to provide, personalize and improve our Products: To promote safety, security and integrity We use information we collect to help protect people from harm and provide safe, secure Products.",none,meta_privacy
"To provide measurement, analytics and business services Lots of people rely on our Products to run or promote their businesses or share content.",none,meta_privacy
"We help them measure how well their ads and other content, products and services are working.",none,meta_privacy
"To communicate with you We communicate with you using information you've given us, like contact information you've entered on your profile.",none,meta_privacy
"To research and innovate for social good We use information we have, information from researchers and datasets from publicly available sources, professional groups and non-profit groups to conduct and support research.",none,meta_privacy
More in the Privacy Policy How is your information shared on Meta Products or with integrated partners?,none,meta_privacy
"Hands holding a phone, using Facebook Login to log into an Integrated Partner's website.",none,meta_privacy
On Meta Products Learn more about the different cases when your information can be shared on our : With integrated partners You can choose to connect with  who use our Products.,none,meta_privacy
"If you do, these integrated partners receive information about you and your activity.",none,meta_privacy
These integrated partners can always access information that’s public on our Products.,none,meta_privacy
Learn more about other information they receive and how they handle your information: Take control How do we share information with third parties?,data_sharing,meta_privacy
"A row of images, including a bar graph, two ads and an online shopping cart.",none,meta_privacy
"We don't sell any of your information to anyone, and we never will.",none,meta_privacy
We also require  and other  to follow rules about how they can and cannot use and disclose the information we provide.,none,meta_privacy
"Here’s more detail about who we share information with: Partners Vendors Service providers Third parties Other third parties We also share information with other  in response to legal requests, to comply with applicable law or to prevent harm.",data_sharing,meta_privacy
"And if we sell or transfer all or part of our business to someone else, in some cases we’ll give the new owner your information as part of that transaction, but only as the law allows.",none,meta_privacy
How do the Meta Companies work together?,none,meta_privacy
"A Meta Quest, a mobile phone showing the Facebook, Instagram and Messenger apps, and a pair of Ray-Ban Stories glasses sit on a table.",none,meta_privacy
We are part of the  that provide Meta Company Products.,none,meta_privacy
"include all the  covered by this Policy, plus other products like WhatsApp and more.",none,meta_privacy
"We share information we collect, infrastructure, systems and technology with the other Meta Companies.",data_sharing,meta_privacy
about how we transfer information to other countries.,none,meta_privacy
"We also process information that we receive about you from other Meta Companies, according to their terms and policies and as permitted by applicable law.",none,meta_privacy
"In some cases, Meta acts as a  for other Meta Companies.",none,meta_privacy
We act on their behalf and in accordance with their instructions and terms.,none,meta_privacy
"Why we share across the Meta Companies Meta Products share information with other Meta Companies: To promote safety, security and integrity and comply with applicable laws To personalize offers, ads and other sponsored or commercial content To develop and provide features and integrations To understand how people use and interact with Meta Company Products of why we share.",data_sharing,meta_privacy
More resources How can you manage or delete your information and exercise your rights?,none,meta_privacy
"We offer you a variety of tools to view, manage, download and delete your information below.",none,meta_privacy
You can also manage your information by visiting the settings of the Products you use.,none,meta_privacy
You may also have other privacy rights under applicable laws.,none,meta_privacy
"To exercise your rights, visit our Help Centers, your settings for Facebook and Instagram and your device-based settings.",none,meta_privacy
"Take a privacy checkup View and manage your information Port, download or delete your information You can learn more about how privacy works on  and on , and in the .",none,meta_privacy
"If you have questions about this policy, you can  as described below.",none,meta_privacy
"In some countries, you may also be able to contact the Data Protection Officer for Meta Platforms, Inc., and depending on your jurisdiction, you may also contact your local Data Protection Authority (“DPA”) directly.",none,meta_privacy
"We keep information as long as we need it to provide our Products, comply with legal obligations or protect our or other’s interests.",none,meta_privacy
We decide how long we need information on a case-by-case basis.,none,meta_privacy
Here’s what we consider when we decide: If we need it to operate or provide our Products.,none,meta_privacy
"For example, we need to keep some of your information to maintain your account.",none,meta_privacy
"The feature we use it for, and how that feature works.",none,meta_privacy
"For example, messages sent using Messenger’s vanish mode are retained for less time than regular messages.",none,meta_privacy
How long we need to retain the information to comply with certain legal obligations.,none,meta_privacy
"If we need it for other legitimate purposes, such as to prevent harm; investigate possible violations of our terms or policies; promote safety, security and integrity; or protect ourselves, including our rights, property or products In some instances and for specific reasons, we’ll keep information for an extended period of time.",none,meta_privacy
about when we may preserve your information.,none,meta_privacy
"How do we respond to legal requests, comply with applicable law and prevent harm?",none,meta_privacy
"We access, preserve, use and share your information: In response to legal requests, like search warrants, court orders, production orders or subpoenas.",none,meta_privacy
"These requests come from  such as civil litigants, law enforcement and other government authorities.",none,meta_privacy
about when we respond to legal requests.,none,meta_privacy
"In accordance with applicable law To promote the safety, security and integrity of , users, employees, property and the public.",none,meta_privacy
We may access or preserve your information for an extended amount of time.,none,meta_privacy
How will you know the Policy has changed?,none,meta_privacy
We'll notify you before we make material changes to this Policy.,none,meta_privacy
You’ll have the opportunity to review the revised Policy before you choose to continue using our Products.,none,meta_privacy
Privacy notice for United States residents You can learn more about the consumer privacy rights that may be available to you by reviewing the .,none,meta_privacy
How to contact Meta with questions You can learn more about how privacy works on  and on  and in the .,none,meta_privacy
"If you have questions about this Policy or have questions, complaints or requests regarding your information, you can contact us as described below.",none,meta_privacy
"You can contact us  or by mail at: Meta Platforms, Inc.",none,meta_privacy
"ATTN: Privacy Operations 1601 Willow Road Menlo Park, CA 94025 Why and how we process your information The categories of information we use, and why and how information is processed, are set out below: Why and how we process your information Information categories we use (see '' for more information on each information category) The actual information we use depends on your factual circumstances, but could include any of the following: Personalizing the  (other than ads, see below): Our systems automatically process information we collect and store associated with you and others to assess and understand your interests and your preferences and provide you personalized experiences across the Meta Products in accordance with our terms.",none,meta_privacy
"This is how we: Personalize features and content (such as your ,  and Stories); Make suggestions for you (such as people you may know, groups or events that you may be interested in or topics that you may want to follow) on and off our products.",none,meta_privacy
about how we use information about you to personalize your experience on and across Meta Products and how we choose the ads that you see.,none,meta_privacy
": Content you create, like posts, comments or audio Content you provide through our camera feature or your camera roll settings, or through our voice-enabled features about content Types of content you view or interact with, and how you interact with it Apps and features you use, and what actions you take in them Purchases or other transactions you make Hashtags you use The time, frequency and duration of your activities on our Products : characteristics and device software What you’re doing on your device, like whether our app is in the foreground or if your mouse is moving (which can help tell humans from bots) Identifiers that tell your device apart from other users’ Device signals Information you’ve shared through your device settings (like GPS location) Location-related information Information about the network you connect your device to Reports about our products’ performance on your device Information from cookies and similar technologies Providing ads on the Meta Company Products: Our ads system automatically processes information that we’ve collected and stored associated with you.",tracking,meta_privacy
Our ads system uses this information to understand your interests and your preferences and personalize your ads across the Meta Company Products.,none,meta_privacy
Our ads system prioritizes what ad to show you based on what audience advertisers want to reach.,none,meta_privacy
Then we match the ad to people who might be interested.,none,meta_privacy
about how our ads system works : Age The gender you provide Information about ads we show you and how you engage with those ads : Location information Device characteristics and device software If you decide to add a WhatsApp account to an Accounts Center with other accounts on Meta Company Products: To associate your accounts on Meta Company Products with your WhatsApp account in the same Accounts Center and share your information with WhatsApp.,none,meta_privacy
Note: the list below is about information from Meta.,none,meta_privacy
For information that WhatsApp shares with Meta see the .,none,meta_privacy
"Providing and improving our Meta Products: The provision of the Meta Products includes collecting, storing, and, where relevant, sharing, profiling, reviewing and curating, and in some instances not only automated processing but also manual (human) reviewing, to: Create and maintain your account and profile, Connect your Meta Products account, including your public profile information, to an integrated partner to sign in or share your information, Facilitate the sharing of content and status, Provide and curate features, Provide messaging services, the ability to make voice and video calls and connect with others, Provide advertising products, Understand and enable creation of content like text, audio, images and videos, including through  we provide, Undertake analytics, and Facilitate your purchases and payments on Meta Pay or other Meta checkout experiences.",ai_decisions,meta_privacy
"We also use information to develop, research and test improvements to our Products.",none,meta_privacy
"We use information we have to: See if a product is working correctly, Troubleshoot and fix it when it’s not, Test out new products and features to see if they work, Get feedback on our ideas for products or features, and Conduct surveys and other research about what you like about our Products and brands and what we can do better.",none,meta_privacy
": Content you create, like posts, comments or audio Your public profile information (including your name, username and profile picture) Content you provide through our camera feature or your camera roll settings, or through our voice-enabled features Messages you send and receive, including their content, subject to applicable law Metadata about content and messages, subject to applicable law Types of content you view or interact with, and how you interact with it Apps and features you use, and what actions you take in them Purchases or other transactions you make, including truncated credit card information Hashtags you use The time, frequency and duration of your activities on our Products Your photo or video selfie if you provide it when you contact us for account support : Device characteristics and device software What you’re doing on your device, like whether our app is in the foreground or if your mouse is moving (which can help tell humans from bots) Identifiers that tell your device apart from other users’ Device signals Information you’ve shared through your device settings Location-related information Information about the network you connect your device to, including your Information from cookies and similar technologies Promoting safety, integrity and security on and across the Meta Products: The Meta Products are designed to research and help ensure the safety, integrity and security of those services and those people who enjoy them, on and off Meta Products.",tracking,meta_privacy
"We process information we have associated with you and apply automated processing techniques and, in some instances, conduct manual (human) review to: Verify accounts and activity, Find and address violations of our terms or policies.",none,meta_privacy
"In some cases, the decisions we make about violations are reviewed by the , Investigate suspicious activity, Detect, prevent and combat harmful or unlawful behavior, such as to review and, in some cases, remove content reported to us, Identify and combat disparities and racial bias against historically marginalized communities, Protect the life, physical or mental health, well-being or integrity of our users or others, Detect and prevent spam, other security matters and other bad experiences, Detect and stop threats to our personnel and property, and Maintain the integrity of our Products.",none,meta_privacy
"For more information on safety, integrity and security generally on Meta Products, visit the  and .",none,meta_privacy
": Content you create, like posts, comments or audio Content you provide through our camera feature or your camera roll settings, or through our voice-enabled features Messages you send and receive, including their content, subject to applicable law Metadata about content and messages, subject to applicable law Types of content you view or interact with, and how you interact with it Apps and features you use, and what actions you take in them Purchases or other transactions you make, including truncated credit card information Hashtags you use The time, frequency and duration of your activities on our Products Your photo or video selfie if you provide it when you contact us for account support : Device characteristics and device software What you’re doing on your device, like whether our app is in the foreground or if your mouse is moving (which can help tell humans from bots) Identifiers that tell your device apart from other users’ Device signals Information you’ve shared through your device settings Location-related information Information about the network you connect your device to, including your IP address Information from cookies and similar technologies To communicate with you: We use information you’ve given us (like contact information on your profile) to send you a communication, like an e-mail or in-product notice, for example: We’ll contact you via email or in-product notifications in relation to the Meta Products, product-related issues, research or to let you know about our terms and policies.",tracking,meta_privacy
We also use contact information like your email address to respond when you contact us.,none,meta_privacy
": Contact information on your profile and your communications with us Content you create, like posts, comments or audio Content you provide through our camera feature or your camera roll settings, or through our voice-enabled features : Device characteristics and device software What you’re doing on your device, like whether our app is in the foreground or if your mouse is moving (which can help tell humans from bots) Identifiers that tell your device apart from other users’ Device signals Information you’ve shared through your device settings Location-related information Information about the network you connect your device to, including your IP address Information from cookies and similar technologies.",tracking,meta_privacy
"Transferring, storing or processing your information across borders, including from and to the United States and other countries: We share information we collect globally, both internally across our offices and data centers and externally with our ,  and .",data_sharing,meta_privacy
"Because Meta is global, with users, partners, vendors and employees around the world, transfers are necessary: To operate and provide the services described in the terms that apply to the Meta Product(s) you are using.",none,meta_privacy
"This includes allowing you to share information and connect with your family and friends around the globe; and To fix, analyze and improve our Products.",data_sharing,meta_privacy
"For more information, see the  section of the Meta Privacy Policy.",none,meta_privacy
": Content you create, like posts, comments or audio Content you provide through our camera feature or your camera roll settings, or through our voice-enabled features Metadata about content and messages, subject to applicable law Types of content you view or interact with, and how you interact with it Apps and features you use, and what actions you take in them Purchases or other transactions you make, including truncated credit card information Hashtags you use The time, frequency and duration of your activities on our Products Your photo or video selfie if you provide it when you contact us for account support : Device characteristics and device software What you’re doing on your device, like whether our app is in the foreground or if your mouse is moving (which can help tell humans from bots) Identifiers that tell your device apart from other users’ Device signals Information you’ve shared through your device settings Location-related information Information about the network you connect your device to, including your IP address Information from cookies and similar technologies Processing information subject to special protections under applicable laws that you provide so we can share it with those you choose, to provide, personalize and improve our Products and to undertake analytics.",tracking,meta_privacy
"We’ll collect, store, publish and apply automated, or sometimes manual (human), processing for these purposes.",none,meta_privacy
": Any information with special protections that you choose to provide, such as your religious views, your sexual orientation, political views, health, racial or ethnic origin, philosophical beliefs or trade union membership, or as part of surveys you choose to participate in, and where you have given your explicit consent Receiving and using information from third parties to tailor the ads you see: We’ll use information that advertisers, businesses and other partners provide us about activity off Meta Company Products that we have associated with you to personalize ads that we show you on Meta Products, and on websites, apps and devices that use our advertising services.",none,meta_privacy
We receive this information whether or not you’re logged in or have an account on our Products.,none,meta_privacy
": Information and content you provide, such as your name or email address Sharing your contact, profile or other information with third parties upon your request: The type of third party and categories of information shared depend on the circumstances of what you ask us to share.",data_sharing,meta_privacy
"For example: We share your email (or other contact information) or other information you might choose when you direct us to share it with an advertiser so they can contact you with additional information about a promoted product, and If you choose to integrate other apps, games or websites with Meta Products and log in, we’ll share your information with the app, game or website to log you in.",none,meta_privacy
": Information such as your contact or profile information Content you create, like posts or comments Providing measurement, analytics and business services: Our systems automatically, as well as with some manual (human) processing, process information we have collected and stored about you and others.",none,meta_privacy
"We use this information to: Provide insights and measurement reports to businesses, advertisers and other partners to help them measure the effectiveness and distribution of their or their clients’ ads, content and services, to understand the kinds of people who are seeing their content and ads, and how their content and ads are performing on and off Meta Products, and Provide aggregated user analytics and insights reports that help users, businesses, advertisers and other partners better understand the audiences with whom they may want to connect, as well as the types of people who use their services and how people interact with their content, websites, apps and services.",none,meta_privacy
": Content you create, like posts, comments or audio Content you provide through our camera feature or your camera roll settings, or through our voice-enabled features Types of content you view or interact with, and how you interact with it Apps and features you use, and what actions you take in them Purchases or other transactions you make Hashtags you use The time, frequency and duration of your activities on our Products : Device characteristics and device software What you’re doing on your device, like whether our app is in the foreground or if your mouse is moving (which can help tell humans from bots) Identifiers that tell your device apart from other users Device signals Information you’ve shared through your device settings Location-related information Information about the network you connect your device to, including your IP address Information from cookies and similar technologies Sharing of information across the Meta Companies: To provide a seamless, consistent and richer, innovative experience across the Meta Company Products to enable cross app interactions, sharing, viewing and engaging with content, including posts and videos.",tracking,meta_privacy
": Content you create, like posts, comments or audio Content you provide through our camera feature or your camera roll settings, or through our voice-enabled features Metadata about content Types of content you view or interact with, and how you interact with it Apps and features you use, and what actions you take in them Purchases or other transactions you make Hashtags you use The time, frequency and duration of your activities on our Products : Device characteristics and device software What you’re doing on your device, like whether our app is in the foreground or if your mouse is moving (which can help tell humans from bots) Identifiers that tell your device apart from other users' Device signals Information you’ve shared through your device settings Location-related information Information about the network you connect your device to, including your IP address Information from cookies and similar technologies Business intelligence and analytics: To understand, in aggregate, your usage of and across our Products, to accurately count people and businesses; and To validate metrics directly related to these, in order to inform and improve product direction and development and to adhere to (shareholder/earning) reporting obligations.",tracking,meta_privacy
": Content you create, like posts, comments or audio Content you provide through our camera feature or your camera roll settings, or through our voice-enabled features Metadata about content and messages, subject to applicable law Types of content you view or interact with, and how you interact with it Apps and features you use, and what actions you take in them Purchases or other transactions you make Hashtags you use The time, frequency and duration of your activities on our Products : Device characteristics and device software What you’re doing on your device, like whether our app is in the foreground or if your mouse is moving (which can help tell humans from bots) Identifiers that tell your device apart from other users' Device signals Information you’ve shared through your device settings Location-related information Information about the network you connect your device to, including your IP address Information from cookies and similar technologies Identifying you as a Meta Product user and personalizing the ads we show you through Meta Audience Network when you visit other apps: When we show you ads through  when you visit other apps, our systems automatically process the information we have collected and stored about you and others to identify you as a Meta Product user and tailor the ads you see.",tracking,meta_privacy
": Information you provide Content you create, like posts, comments or audio Content you provide through our camera feature or your camera roll settings, or through our voice-enabled features Metadata about content Types of content you view or interact with, and how you interact with it Apps and features you use, and what actions you take in them Purchases or other transactions you make Hashtags you use The time, frequency and duration of your activities on our Products : Device characteristics and device software What you’re doing on your device, like whether our app is in the foreground or if your mouse is moving (which can help tell humans from bots) Identifiers that tell your device apart from other users' Device signals Information you’ve shared through your device settings Information about the network you connect your device to, including your IP address Information from cookies and similar technologies Providing marketing communications to you: Depending on your settings and subject to applicable law, we’ll share marketing communications with you.",tracking,meta_privacy
"We’ll collect and store your information and use it to send marketing communications to you, like an email, subject to applicable laws.",none,meta_privacy
": Information and content you provide, including your contact information like email address : Device identifiers Research and innovate for social good: We carry out surveys and use information (including from researchers we collaborate with) to conduct and support research and innovation on topics of general social welfare, technological advancement, public interest, health and well-being.",tracking,meta_privacy
