clause,label,source_policy
Privacy Policy State Privacy Law Disclosure & Notice at Collection This U.S.,none,pinterest_privacy
State Privacy Law Disclosure & Notice at Collection applies only if you are a resident of a U.S.,none,pinterest_privacy
state governed by a state-level privacy law.,none,pinterest_privacy
This page also serves as our California Notice at Collection.,none,pinterest_privacy
Summary of changes We work hard to make our use of personal data transparent and to make your rights and choices easy to understand.,none,pinterest_privacy
"We added more details on how we train the models that support our products and services including those using generative artificial intelligence, how long we keep your information, and changes to our international data transfer mechanisms.",none,pinterest_privacy
"If you are outside of the EEA, Switzerland, or the United Kingdom, we’ve outlined how we may share data with partners to allow advertisers to reach you on other websites and apps.",none,pinterest_privacy
Our mission is to bring everyone the inspiration to create a life they love.,none,pinterest_privacy
"To do that, we show you personalized content and ads we think you’ll be interested in based on information we collect from you and other parties.",none,pinterest_privacy
"We wrote this policy to help you understand what information we collect, how we use it and what choices you have about it.",none,pinterest_privacy
"Some of the concepts below are a little technical, but we’ve tried our best to explain things in a simple and clear way.",none,pinterest_privacy
Scope of the Privacy Policy This is Pinterest’s global Privacy Policy.,none,pinterest_privacy
We have highlighted below where a particular section applies to you based on where you live.,none,pinterest_privacy
"For the purposes of the General Data Protection Regulation (“GDPR”), if you are a resident in the EEA, Switzerland, and the UK, Pinterest Europe Ltd.",none,pinterest_privacy
are joint data controllers of your personal data.,none,pinterest_privacy
"is an Irish company with its registered office at Waterloo Exchange, 3rd Floor, Waterloo Road, Dublin 4, Ireland.",none,pinterest_privacy
"is a US company with its registered office at 651 Brannan St., San Francisco, CA 94107, USA.",none,pinterest_privacy
Pinterest Europe Ltd is the responsible controller for fulfilling key obligations under the GDPR.,none,pinterest_privacy
"If you have any questions about our data processing activities, please contact our Data Protection Officer.",none,pinterest_privacy
We collect information in a few different ways 1.,none,pinterest_privacy
"When you give it to us or give us permission to obtain it When you use Pinterest websites, apps, services, technologies, APIs, widgets, or any other products, like Shuffles, or features we offer (“Pinterest” or the “Services”), you voluntarily share certain information.",none,pinterest_privacy
"Account Information: When you join our Services, we collect information like your name, email address, birthday, gender, country of residence, your interests, and preferred language.",none,pinterest_privacy
"If you have a business account, depending on where you live, you may also have the option to add race and ethnicity information to your profile.",none,pinterest_privacy
"Content: We collect information when you save or upload Pins, photos, or other content, interact with Pins or other content (for example, commenting or adding a Pin), or where you send messages and interact with other users.",none,pinterest_privacy
"Precise location information: Depending on where you live, you can choose to share your precise location using your device settings.",location,pinterest_privacy
"Your communications with us: If you contact us for customer support or otherwise communicate with us, we collect the content of these communications.",none,pinterest_privacy
"Your contacts: If you previously chose to sync your contacts with your account, we will continue to process certain information about your contacts who are Pinterest users to help you find one another on our Services.",none,pinterest_privacy
"We also get technical information when you use Pinterest When you use a website, mobile application or other internet service, certain internet and electronic network activity information gets created and logged automatically.",none,pinterest_privacy
This is also true when you use Pinterest.,none,pinterest_privacy
"Here are some of the types of information we collect: Device information: We collect information about the device you use to access our Services, including the type of device, operating system, network service provider, settings, and unique device identifiers.",tracking,pinterest_privacy
"Log data: When you use our Services, our servers record information (“log data”), including information that your browser automatically sends whenever you visit a website, or that your mobile app automatically sends when you’re using it.",none,pinterest_privacy
"This log data includes, for example, your Internet Protocol (IP) address, activity on websites you visit that incorporate Pinterest features (like the “Save” button) browser type and settings, and the date and time of when you accessed the Services.",none,pinterest_privacy
You can learn more about the log data we collect here.,none,pinterest_privacy
Information from cookies and similar technologies: We also use “cookies” or similar technologies to obtain log data.,tracking,pinterest_privacy
"For example, we use cookies to store your language preferences or other settings so you don‘t have to set them up every time you visit Pinterest.",tracking,pinterest_privacy
"For more information about how we use cookies, please review our Cookie Policy.",tracking,pinterest_privacy
"Usage data and inferences: When you’re on our Services, we use your activity—such as which Pins you click on, terms you search for, boards you create, and any text that you add in a comment or description—along with other information you’ve provided when you first signed up and information from our partners and advertisers to make inferences about you and your preferences.",none,pinterest_privacy
"For example, if you create a board about travel, we may infer you are a travel enthusiast.",none,pinterest_privacy
"We may also infer other information, such as your education or professional experience.",none,pinterest_privacy
"Location Information: We use your IP address to infer your approximate location, even if you don't choose to share your precise location, and photos you share may include information about the location where they were taken.",location,pinterest_privacy
"User Choices: We will keep a record of choices you’ve selected in your settings, including privacy settings and whether you have enabled notifications.",none,pinterest_privacy
"Our partners and advertisers share information with us We also receive information about you and your activity outside Pinterest from our affiliates, advertisers, partners and other third parties we work with.",data_sharing,pinterest_privacy
"For example: Third party platforms: If you register for or log into the Service using a third party platform (like Facebook or Google), they will furnish certain information to us to facilitate your account creation or log-in with us.",data_sharing,pinterest_privacy
"In addition, if you connect your third-party accounts to our Services, we may use information from those accounts to improve your experience.",data_sharing,pinterest_privacy
"Further, some third-party applications use Pinterest features such as our “Save” button, or you may install our “Save” button for your browser.",data_sharing,pinterest_privacy
"If so, we collect log data from those sites or apps, including usage data.",none,pinterest_privacy
"Technical service partners: We sometimes receive information about you from technical service partners, including from marketing firms.",none,pinterest_privacy
"Advertisers or other partners: Online advertisers or third parties provide information to us about you to measure, report on or improve the performance of ads on Pinterest, or to help us better understand what kinds of ads to show you on Pinterest.",none,pinterest_privacy
"For example, we may receive information about your visits to an advertiser's site, or purchases you made from them, or information about your interests from a third-party service, which we might use to help show you ads on the Service.",data_sharing,pinterest_privacy
"Sometimes we get this information through the Pinterest Tag (a piece of code an advertiser puts on their site), which delivers insights to us and our ad partners about actions that a person takes on their website after viewing an ad on our Services.",none,pinterest_privacy
