clause,label,source_policy
Refunds Travel plans can change at a moment's notice.,refunds,jetblue_refund
"If you're no longer traveling and need to cancel a reservation, your options and refund eligibility will depend on your ticket type.",refunds,jetblue_refund
"Contents Get a refund Refund timing Refundable fare policy Nonrefundable fare policy Canceling within 24 hours Flight changes made by JetBlue Frequently asked questions Get a refund To obtain a possible refund for your flight, seats, bags, and extras: Visit Manage Trips.",refunds,jetblue_refund
Select the trip you wish to have refunded.,refunds,jetblue_refund
Select cancel to start the refund process.,refunds,jetblue_refund
Follow the steps to complete cancellation of your trip.,none,jetblue_refund
Please note: The only way to receive a refund is to cancel your trip.,refunds,jetblue_refund
"If JetBlue impacted your trip, you may cancel the impacted flight and receive a refund to the original form of payment.",refunds,jetblue_refund
"Most often, the refund will be given via travel credit.",refunds,jetblue_refund
"Seats, bags, and extras will be refunded to the original form of payment.",refunds,jetblue_refund
Read below to see which types of transactions qualify for a refund to be returned to the original form of payment.,refunds,jetblue_refund
Start a refund Refund timing Item Time Frame¹ Notes JetBlue Travel Credit Immediate Credited as a JetBlue travel credit² TrueBlue Point Refund Immediate Refunded to TrueBlue account.,refunds,jetblue_refund
Credit Card Refund 7-10 Business Days Refunded to original form of payment.,refunds,jetblue_refund
"Partner flights originally ticketed with JetBlue Immediate, in some cases Credited as a JetBlue travel credit² JetBlue flights originally ticketed with a partner airline Up to the booking source Contact the booking source.",none,jetblue_refund
"Extras (Seats, pets, baggage, etc)³ refunds 7-10 Business Days Refunded to original form of payment.",refunds,jetblue_refund
What if I have not received my travel credit refund?,refunds,jetblue_refund
"If you cannot find your credit under your name, and you are traveling with others, check the reservation of the primary traveler in the original reservation.",none,jetblue_refund
"Also, sign out of your JetBlue travel credit account and then sign in.",none,jetblue_refund
"If you still have not received the expected refund, contact us for additional assistance.",refunds,jetblue_refund
"Be aware that some fees, such as tourism taxes, are nonrefundable in most cases.",refunds,jetblue_refund
All travel credits are subject to their original expiration date.,none,jetblue_refund
"If you booked using travel credit and cancel the ticket, any credit that has already expired will not be returned to your JetBlue travel credit account.",none,jetblue_refund
Learn more about JetBlue travel credits.,none,jetblue_refund
"Refundable fare policy Refundable fare policy For JetBlue refundable fares, cancellations are permitted any time prior to the scheduled departure for a full refund to the original form of payment.",refunds,jetblue_refund
Refundable fares may not be available on all flights.,refunds,jetblue_refund
"If an eligible refundable reservation is not changed or cancelled prior to the scheduled departure, all money associated with the reservation will be in the form of a JetBlue travel credit, valid for 12 months from original ticketing date, and may be applied toward future travel.",refunds,jetblue_refund
"Partially used reservation If you wish to cancel any remaining travel after a portion of your refundable trip has been taken, your refund amount will equal the one-way fare for the portion of the trip cancelled.",refunds,jetblue_refund
This also applies if a portion of your travel is not operated as scheduled by JetBlue.,none,jetblue_refund
No show or missed flight Refundable fares must be changed or cancelled prior to the scheduled departure time in order to receive a refund to the original form of payment.,refunds,jetblue_refund
"If a flight is missed, the money associated with the reservation will be in the form of a JetBlue travel credit, valid for 12 months from original ticketing date, and may be applied toward future travel.",none,jetblue_refund
"See JetBlue travel credit info Nonrefundable fare policy Nonrefundable fare policy For JetBlue nonrefundable fares, cancellations can be made prior to the scheduled departure.",refunds,jetblue_refund
A per person cancellation fee may apply depending on the fare option selected.,refunds,jetblue_refund
"Any remaining balance will be in the form of a JetBlue travel credit, valid for 12 months from original ticketing date.",none,jetblue_refund
"No show or missed flight If an eligible nonrefundable reservation is not changed or cancelled prior to scheduled departure, all money associated with the reservation will be forfeited.",refunds,jetblue_refund
