clause,label,source_policy
"Privacy Policy As a global marketplace, we take our international data protection obligations seriously.",none,etsy_privacy
"Please select your preferred language (and, where applicable, regional variation) from the list below to view our Global Privacy Policy.",none,etsy_privacy
"(Please note: the content is the same across all translations, only the language or dialect differs).",none,etsy_privacy
Learn more about interest-based advertising and your choices here.,none,etsy_privacy
"Deutsch - Etsy: Datenschutzrichtlinie English - India - Etsy Privacy Policy English - UK - Etsy Privacy Policy English - US - Etsy Privacy Policy Español - Etsy: Política de privacidad Français - Etsy: Règlement concernant la confidentialité Italiano - Etsy: Informativa sulla privacy Nederlandse - Etsy: Privacybeleid Русский - Политика конфиденциальности Polski - Etsy: Polityka prywatności Português - Etsy: Política de privacidade 本語 - プライバシーポ हिन्दी - गोपनीयता नी%त For users residing outside of the UK and the European Economic Area, the following applies to you: If you access our Sites or Services, or otherwise interact with Etsy, you agree to be bound by the terms of this Privacy Policy, including our Cookies & Similar Technologies Policy and Cookies & Similar Technologies Disclosures, which describe our use of cookies, web beacons, and other similar technologies and your choices with respect to our use of these technologies for interest-based advertising.",tracking,etsy_privacy
This Privacy Policy applies retroactively to your interactions with Etsy before becoming a Member or agreeing to this Policy.,none,etsy_privacy
"If you do not agree to this Privacy Policy, you may not use the Sites and Services.",none,etsy_privacy
"For users located in the United States, including California Residents, you may be entitled to additional rights or disclosures, please see the United States Regional Privacy Policy for information about your privacy rights under certain US state laws, which is incorporated into this policy.",none,etsy_privacy
"What Information We Collect and Receive How We Use Your Information and Our Legal Basis How We Share Your Information How We Transfer Your Information How We Protect Your Information How Long We Store Your Information Your Rights & Choices Your Responsibilities Privacy Policy Changes Additional Disclosures for United States Residents Our Relationship With You Contact Us At Etsy, we care deeply about privacy.",none,etsy_privacy
"We strive to be transparent about what information we collect, and how we use, share and retain it.",none,etsy_privacy
"This Privacy Policy explains our privacy practices for Etsy.com (which we’ll refer to as the ""Site""), Etsy’s mobile applications, including the Etsy App and the Etsy Seller App (together, the ""Apps""), Etsy Payments, Pattern by Etsy, Etsy’s public Application Programming Interface (the “API”), and other services provided by the Etsy companies (the ""Services"") set out at Section 11 (which we’ll refer to as ""Etsy,"" or as ""we,"" ""us,"" and ""our"").",none,etsy_privacy
"We’ll use the term “Services” to refer collectively to the Site, the Apps, Etsy Payments, Pattern by Etsy, and the API.",none,etsy_privacy
"This policy applies to our registered buyers (“Buyers”) and sellers (“Sellers”) (together, our “Members”), those who purchase items on Etsy without an account (“Guests”) and anyone else who visits our Sites or uses our Services (together with our Members and Guests, “you” and “your”).",none,etsy_privacy
"This Privacy Policy, as well as our Cookies & Similar Technologies Policy and Cookies & Similar Technologies Disclosures apply to all of your interactions with our Sites and our Services, including our Cookies & Similar Technologies Policy and Cookies & Similar Technologies Disclosures.",tracking,etsy_privacy
"If you are not a registered Member or a Guest, please see our Non-Member Privacy Policy for further information about how we may collect and use your information, available here.",none,etsy_privacy
This policy does not apply to the practices of Etsy Sellers.,none,etsy_privacy
It also does not apply to any third parties that you may choose to share information with when you use the Services.,data_sharing,etsy_privacy
Please note that the collection and use of your information by these third parties is subject to their own privacy policies and terms.,none,etsy_privacy
You should understand the privacy and security practices of any third party before you share information with them.,data_sharing,etsy_privacy
It is important for you to understand how we use your information.,none,etsy_privacy
"You should read this policy in full, but some key points to help you navigate the policy are: Etsy’s mission is to Keep Commerce Human.",none,etsy_privacy
We are the marketplace for unique items from real people.,none,etsy_privacy
"We stay true to this by connecting buyers with items made, designed, handpicked, or sourced by creative sellers around the world.",none,etsy_privacy
"By accepting our Terms of Use and this Privacy Policy, or by using any of our Services, you confirm that you have read and understand, and in countries outside the United Kingdom (“UK”) or European Economic Area (“EEA”) agree to this policy.",none,etsy_privacy
"We collect and use your information to provide and improve our Services, to protect the security and integrity of our Services and to comply with our legal obligations.",none,etsy_privacy
"To learn more about the information we collect and how we use it, see Section 1 and Section 2 below.",none,etsy_privacy
"We share your information with other Etsy group companies, trusted partners and service providers to provide our Services, for security purposes, to understand how you use and interact with our Services and to meet our legal obligations.",none,etsy_privacy
"You have certain rights over our use of your data, including the right to object to certain types of processing that we carry out.",none,etsy_privacy
"Depending on your location, different Etsy entities may provide different parts of the Services to you.",none,etsy_privacy
"For more information on your relevant service provider(s) and data controller(s), along with details of how to contact them, see Section 12.",none,etsy_privacy
"If you have any questions about this Privacy Policy, or wish to exercise your rights, see Section 12 for further information about how to contact us.",none,etsy_privacy
You can learn more about Etsy’s policies by visiting our House Rules and Help Center.,none,etsy_privacy
"What Information We Collect and Receive In the course of providing our Services, we collect and receive information that directly or indirectly relates to you in different ways and from different sources, which we have set out below.",none,etsy_privacy
"The capitalized terms in this Section 1 are definitions that we use throughout this Policy, so please refer back to this table as necessary.",none,etsy_privacy
"How We Use Your Information and Our Legal Basis When you access or use the Services or interact with our Sites and/or Apps, we collect, use, share, and otherwise process your information for the purposes described in this policy.",none,etsy_privacy
"To the extent required by applicable law, we rely on a number of legal bases to use your information in these ways.",none,etsy_privacy
"If you reside outside the European Economic Area (“EEA”), Switzerland or the United Kingdom (“UK”) (together referred to as the “European Region”), the legal bases on which we rely may differ from those listed below.",none,etsy_privacy
"How We Share Your Information We share your data with third parties where necessary to provide the Services, comply with our legal obligations, or for purposes set out in this Privacy Policy, including: Publicly Displayed Information: By using the Services, certain information about you will be publicly displayed on the Site and Apps, such as Buyer Public Profile Information and Seller Public Profile Information (as defined in Section 2).",data_sharing,etsy_privacy
Buyers and Sellers can choose to make certain information and activities private through their account or Public Profile settings.,none,etsy_privacy
"We will also display other information connected with your use of the Services, including the date you joined, information relating to items you review (including the content of the reviews), photos or videos of items you purchased, your Favorites and Collections, followers, those you follow, comments you post in our community spaces, and information you decide to share via social networks.",none,etsy_privacy
"Your reviews of shops or items you’ve purchased may also be shared on other platforms and indexed by search engines, including Google.",none,etsy_privacy
"For certain Sellers, some additional information may be publicly displayed.",none,etsy_privacy
"For example, your business name, shop location, or business registration number associated with your account (which you may modify and update in your account settings) may be publicly displayed.",none,etsy_privacy
"Etsy Group Companies: We may share some of the information that we collect, such as Buyer Account Information, Seller Account Information, Seller Verification Information, Service Usage Information, Device and Browser Information, and Cookie Information, with our corporate affiliates, which include Etsy, Inc., Etsy Ireland UC, Etsy Payments Ireland Limited, Etsy Gifting LLC, Etsy UK, Ltd., other Etsy entities, and Etsy-owned affiliates (including Depop Ltd.",none,etsy_privacy
"), that help us conduct business around the world (together, the “Etsy Group Companies”).",none,etsy_privacy
"The information shared among the Etsy Group Companies may be used for the purposes described in this Privacy Policy and generally to operate our business, including for ID verification purposes, transaction monitoring, fraud prevention, payment processing, marketing, the issuing of, and use of, gift cards as a payment method, legal and regulatory compliance, customer support, business development, user account administration, and IT, technical, and engineering support.",none,etsy_privacy
"Sellers: We may share aggregated information about your use of the Services to Sellers, for example, if you are a frequent purchaser or a new Buyer, so they can provide you with better service and so we can improve our Site and Apps.",none,etsy_privacy
"To improve the shopping experience, we may collect and display certain Seller information, including when and how they interact and use the Services, in order to, for example, display when Sellers were last active, or to show average Seller response times.",none,etsy_privacy
"Linked Third-Party Websites or Services: Some Members may choose to connect to Etsy or register an Etsy account using an external third-party application, such as Facebook or Google.",data_sharing,etsy_privacy
Connecting your Etsy account to third-party applications or services is optional.,data_sharing,etsy_privacy
"If you choose to connect your account to a third-party application, the providers of those services or products may receive information about you that Etsy, you, or others share with them.",data_sharing,etsy_privacy
"You can choose to link your payment processing or bank account to facilitate paying for purchases (or to receive payment and disbursements, in the case of Sellers in select markets) through a third-party service available through the Site or Etsy App.",data_sharing,etsy_privacy
"When you register with these third-party partners, we will tell you what information is collected and what information the third party will share with Etsy.",data_sharing,etsy_privacy
"Please be aware that when you use third-party sites or services, their own terms and privacy policies will govern your use of those sites or services in addition to our own terms and privacy policy.",data_sharing,etsy_privacy
