clause,label,source_policy
"Skip to Main Content HR Tech Privacy Privacy Policy Cookie Policy Ad Choices Indeed Sites Glassdoor Sites About HR Tech Glassdoor Sites  Glassdoor Cookie Policy and Ad Choices HR Tech Privacy Glassdoor & Fishbowl Logo Glassdoor Privacy Policy Revised November 19, 2025 (major update summary and previous version) Glassdoor LLC (“Glassdoor”) is the provider of the services Glassdoor.com and Fishbowlapp.com.",none,glassdoor_privacy
"This Privacy Policy (the “Policy”) applies to personal data Glassdoor processes when providing these services and affiliated applications, ads, communications, and other instances where we link to this Policy (collectively “services”).",none,glassdoor_privacy
The services covered by this Policy are: Glassdoor.com Fishbowlapp.com Any term not defined in this Policy has the meaning set forth in our Terms of Use.,none,glassdoor_privacy
"As used in this Policy, the word “including” means “including but not limited to.” Glassdoor affiliates include Indeed and Indeed Flex.",none,glassdoor_privacy
You can read more about our affiliates and our shared commitment to privacy at our Privacy Center.,none,glassdoor_privacy
Data Controller Glassdoor LLC is the data controller for our services.,none,glassdoor_privacy
Our representative in the UK for GDPR: Glassdoor Global Ltd.,none,glassdoor_privacy
Our representative in the EU for GDPR: Glassdoor Hiring Solutions Ireland Ltd.,none,glassdoor_privacy
Personal Data We Process and How We Use It We process personal data in order to provide our services.,none,glassdoor_privacy
The personal data we collect from and about you will vary depending on how you interact with our services.,none,glassdoor_privacy
"We also change our services from time to time, so your options for providing us with personal data may also change.",none,glassdoor_privacy
You aren’t required to provide us with personal data.,none,glassdoor_privacy
"However, if you don’t share certain data with us, we may not be able to provide you with our services or respond to your requests.",none,glassdoor_privacy
"We May Collect the Following Categories of Personal Data Personal Data Categories	Examples of Personal Data in the Category	Applicable GDPR / US State-Law Data Categories Communications Activity	Communications you’ve signed up for or received, interactions with communications (e.g., reading/opening communications, clicking links) service info downloaded, address book information, etc.",none,glassdoor_privacy
"Commercial information, personal identifiers, inferences, internet activity, Demographics	Race/ethnicity, sexual orientation, disability, leading personality trait (e.g., introvert/extrovert), religion, marital status, parental status, veteran status.",none,glassdoor_privacy
"Special Category Data / Sensitive Personal InformationCharacteristics of protected classifications under state or federal lawHealth Data (disability status) Direct Messages	Direct messages and associated Content	Identifiers Job Applications	Jobs you’ve applied to and associated interactions, including the resumes and other data you supply during the application process	Special Category Data / Sensitive Personal InformationProfessional or employment-related information Job Interests & Activity	Job preferences and your activity interacting with jobs (e.g.",none,glassdoor_privacy
"searching for or saving a job)	Inferences, professional or employment-related information, Job Postings	Your job postings on the services	Professional or employment-related information Profile Information	Name, email address, resume, current/past job title, picture, phone number, username, age, gender, work/education experience, social media, location, language, account settings, communications preferences, etc.",none,glassdoor_privacy
"Commercial information, education information, identifiers, Sales & Support History	Purchase history, payment details, and other sales support interactions	Sensitive Personal InformationCommercial information, identifiers, internet activity Security & Login Information	Your login events, password changes, email changes, and device information (including IP address and associated inferred coarse location)	Sensitive Personal InformationGeolocation, Identifiers, internet activity, inferences Service Activity	Pages you viewed, Content or ads you interacted with, searches, chat logs, groups you visited, log info, screen recordings, text entered, etc.",none,glassdoor_privacy
"Internet activity, inferences Submitted Content	Employer reviews, salary reports, benefit reviews, interview reviews, photos, posts, comments, documents, audio, video, etc.",none,glassdoor_privacy
"submitted to the services	Audio, electronic, visual, thermal, olfactory, or similar information; professional or employment-related information User Support & Feedback	Your support requests and feedback you provide us	Commercial information, identifiers, How We May Use Personal Data Advertising (On & Off the Services) We may use your personal data to enable our advertising, advertising for our customers (including job and display ads), and sponsored Content.",none,glassdoor_privacy
"We may use personal data we collect from you, our affiliates, and third parties to personalize ads for our services as well as ads available on our services.",none,glassdoor_privacy
We may also use data we collect via our services and third-party ad partners (including affiliates) to measure the effectiveness of ads and to help recognize your device(s) to serve you ads on and off of our services.,data_sharing,glassdoor_privacy
Some of our ad partners may also enable us to collect similar data directly from their website or app by integrating our or our affiliates advertising technology.,none,glassdoor_privacy
"Personal data shared by ad partners and affiliates or collected by us from the websites and apps of ad partners and affiliates may be combined with the other data you share with us and that we receive, generate, or infer about you, as described in this Policy.",none,glassdoor_privacy
"If you respond to ads posted by third parties or submit data to third parties via the services, these third parties receive data about you subject to their respective privacy policies.",none,glassdoor_privacy
"Artificial Intelligence (AI) We may offer you the ability to interact with AI features, such as chatbots, agents, or AI-Generated Content.",none,glassdoor_privacy
"We and our affiliates use your personal data to understand your use of our and our affiliates’ services and provide AI features such as summaries, personalized outreach messages, job descriptions, insights, and job-based matched candidates.",none,glassdoor_privacy
"In some jurisdictions, we may enable chatbots and other interactive experiences that allow you to take certain actions, such as applying to a job, posting content.",none,glassdoor_privacy
The information you share in a chat with a chatbot is used to provide more personalized responses or relevant information on our and our affiliates services.,none,glassdoor_privacy
We will indicate when a chatbot is using artificial intelligence.,none,glassdoor_privacy
