clause,label,source_policy
Privacy Notice for Travelers Updated: October 2025 About this privacy notice Terms we may use in our privacy notices Personal data we collect and process Personal data you give to us Personal data you give us about others Personal data we collect automatically Personal data and information about you we receive from other sources Purposes of collecting and processing your personal data Legal bases for personal data processing How we share personal data within Booking.com How we share personal data within the Booking Holdings Inc.,none,bookingdotcom_privacy
group (BHI) How we share personal data with third parties Information regarding specific markets and products & services Ground transportation Insurance US Insurance US (other than California) How we protect personal data How we use cookies & other tracking technologies How we use artificial intelligence and make automated decisions How we treat personal data belonging to minors Your rights Our company and how we further comply with privacy laws About this privacy notice We are Booking.com and this privacy notice is intended for travelers using or considering using our products and services.,tracking,bookingdotcom_privacy
"You place your trust in us by using Booking.com services, and we value that trust.",none,bookingdotcom_privacy
"This privacy notice describes how we collect and otherwise process your personal data when you visit our websites, use our mobile apps or buy a travel-related product or service through us.",none,bookingdotcom_privacy
"Among other things, it tells you what rights you have in relation to your personal data and how you can contact us.",none,bookingdotcom_privacy
"Booking.com offers online travel-related services through its own websites and mobile apps as well as through third-party channels, for example, partners’ websites.",data_sharing,bookingdotcom_privacy
This privacy notice applies to any kind of traveler information Booking.com processes through all of our services.,none,bookingdotcom_privacy
It is not the only privacy notice Booking.com maintains to inform you about our processing of personal data.,none,bookingdotcom_privacy
A similar privacy notice is available for Booking.com’s business partners.,none,bookingdotcom_privacy
Booking.com amends its privacy notices from time to time and recommends that you visit this notice occasionally to stay informed.,none,bookingdotcom_privacy
"If Booking.com makes updates to a privacy notice that could significantly impact persons, it will take steps to inform these persons about such changes before they go into effect.",none,bookingdotcom_privacy
"Back to top Terms we may use in our privacy notices Throughout our privacy notices, Booking.com uses particular terms that have a specific meaning in the context of these notices and the services Booking.com offers.",none,bookingdotcom_privacy
These specific terms are described here.,none,bookingdotcom_privacy
"Term Meaning Booking.com:	When we refer to “we,” “us,” or “our,” we mean Booking.com group entities and other Booking Holdings Inc.",none,bookingdotcom_privacy
companies as described in the section on Our Company .,none,bookingdotcom_privacy
(BHI)	This is the parent company of Booking.com.,none,bookingdotcom_privacy
It is also the parent company of other BHI brands such as Agoda and Priceline.,none,bookingdotcom_privacy
Visit https://www.bookingholdings.com/ for more information.,none,bookingdotcom_privacy
"Platform	Any websites, mobile apps, or other technologies that we provide in order to interact with travelers and other parties for travel-related services.",none,bookingdotcom_privacy
"Strategic partner	A company (such as an airline, a bank, another BHI brand, or a phone manufacturer) with whom we contract and collaborate to expand reservation opportunities.",none,bookingdotcom_privacy
"Through these partnerships, travelers can conveniently book their trip at various touchpoints beyond our direct channels of Booking.com websites and mobile apps.",none,bookingdotcom_privacy
"Traveler	Anyone who uses or is considering using any of our travel products and services, whether for themselves or for others, through our platform.",none,bookingdotcom_privacy
Trip	One or more travel products and services a traveler can select to obtain from one or more trip providers via our platform.,none,bookingdotcom_privacy
Trip provider	The third-party provider of an accommodation (e.g.,data_sharing,bookingdotcom_privacy
"hotel, motel, apartment, bed & breakfast, etc.), an attraction (e.g.",none,bookingdotcom_privacy
"amusement park, museum, sightseeing tour, etc.), transportation (e.g.",none,bookingdotcom_privacy
"plane, ground transportation including private cars, public transit, car rental, train, coach tour and related transfers) and any other travel or related product (e.g.",none,bookingdotcom_privacy
insurance) or service as from time to time available on the platform for a trip reservation.,none,bookingdotcom_privacy
"Trip service	The online reservation, order, purchase, and payment services as offered, enabled, and supported by Booking.com for trip providers on the platform.",none,bookingdotcom_privacy
"Trip reservation	The online reservation, order, purchase, or payment in connection with a trip.",none,bookingdotcom_privacy
"Back to top Personal data we collect and process Personal data you give to us When you make a trip reservation, you are asked for your name and email address.",none,bookingdotcom_privacy
"Depending on the nature of the trip reservation, we may also need to ask for your home address, phone number, payment info, date of birth, current location (in the case of on-demand services), whether you’re traveling for work purposes, the names and dates of birth of the people traveling with you, and any preferences you might have for your trip (e.g.",none,bookingdotcom_privacy
"For reservations for flights and certain attractions, we may be required to collect additional information from you including your and your co-travelers’ passport or national ID information.",none,bookingdotcom_privacy
This may also be necessary for online check-in.,none,bookingdotcom_privacy
"When you contact our customer service team, contact your trip provider through our platform, or reach out to us by telephone or through social media, we also collect information from you through these channels including your name, metadata such as, for calls, where you called from, and the date and length of the call.",none,bookingdotcom_privacy
"When you search using our platform for possible trip reservations, you can select to save specific trip items in a list that we’ll store for you.",none,bookingdotcom_privacy
"During or after your trip, we may also invite you to submit reviews that can inform others about the experiences you had on your trip.",none,bookingdotcom_privacy
"When you submit reviews on the platform, we collect information you’ve included along with your first name or display name and avatar (if you choose one).",none,bookingdotcom_privacy
"If you create an account on our platform, we also store information you include and manage in your account.",none,bookingdotcom_privacy
"This can include personal settings, credit card information, uploaded photos, and your reviews.",none,bookingdotcom_privacy
You can also choose to add details from one or more of your identification documents to your account so that you don’t have to re-enter this information for future trip reservations.,none,bookingdotcom_privacy
"If you want a verified account badge in those jurisdictions where it is available, we may ask for a copy of your identification (a passport or ID card) and a “selfie” to help us confirm it is you.",none,bookingdotcom_privacy
There are other circumstances where you may provide us with personal data.,none,bookingdotcom_privacy
"For example, if you’re using our platform from your mobile device, you can decide to allow Booking.com to use your current location or grant us access to other details.",none,bookingdotcom_privacy
"This helps us give you the best possible service and experience by, for example, suggesting the nearest restaurants or attractions to your location or making other recommendations.",none,bookingdotcom_privacy
"Personal data you give us about others It may be that you use our platform to make a trip reservation on behalf of, or that involves, other travelers.",none,bookingdotcom_privacy
"In this case, you may be required to provide some details about these persons as part of the trip reservation.",none,bookingdotcom_privacy
"If you have a Booking.com for Business account, you can keep an address book there to make it easier to plan and manage business travel arrangements for others.",none,bookingdotcom_privacy
"When you use the platform to give us information about others, it’s your responsibility to ensure that each person whose personal data you provide is aware that you’re doing so and can understand how Booking.com uses their personal data (as described in this privacy notice).",none,bookingdotcom_privacy
"Personal data we collect automatically Whether or not you make a trip reservation, when you use our platform, we automatically collect certain information.",none,bookingdotcom_privacy
"This includes your IP address, the dates and times you use our platform, and some information about your device’s hardware and software (such as the type of operating system, internet browser and mobile app version you use, your chosen language settings).",none,bookingdotcom_privacy
"When you use our mobile apps, we collect data identifying the mobile device and operation of our app on the device (including possible crashes).",none,bookingdotcom_privacy
"When you are redirected to the Booking.com platform by a third-party website or mobile app, we collect this information as well.",data_sharing,bookingdotcom_privacy
We also collect information about clicks you make and which pages are shown to you from our platform.,none,bookingdotcom_privacy
Personal data and information about you we receive from other sources We may also receive information about you from other sources.,none,bookingdotcom_privacy
This can include one or more of the following: Other BHI companies Trip providers Strategic partners Other third-party companies such as marketing partners Information we receive from these parties may be used together with information you provide us with directly via our platform for the purposes of providing services to you.,data_sharing,bookingdotcom_privacy
We receive personal data about you from these parties in situations such as these: Our trip reservation services are available beyond our platform.,none,bookingdotcom_privacy
They are also integrated into the services of strategic partners.,none,bookingdotcom_privacy
"When you make a reservation using a service for which the strategic partner relies on Booking.com, we receive the reservation details from the strategic partner so that your reservation can be processed and supported.",none,bookingdotcom_privacy
Trip providers may share other information about you with Booking.com.,none,bookingdotcom_privacy
"This could happen if you have support questions about a pending trip reservation, or if there is a dispute, major complaint, including about you, or other issue about a trip reservation.",none,bookingdotcom_privacy
"We integrate with third-party payment service providers such as Adyen and Stripe to facilitate electronic payments between you, Booking.com, and trip providers.",data_sharing,bookingdotcom_privacy
These service providers share payment information so we can administer and handle your trip reservation.,none,bookingdotcom_privacy
"In some cases, we link to other business partners who provide trip reservations that may not be available on our platform.",none,bookingdotcom_privacy
"If you select these, you are redirected to other business partners’ websites where you can make a reservation.",none,bookingdotcom_privacy
These partners may share certain personal data related to your specific reservation and your interactions on their websites or mobile apps with us in accordance with their privacy policies.,none,bookingdotcom_privacy
Our platform includes communication services such as email and chat messages.,none,bookingdotcom_privacy
These communication services offer you a convenient way to contact the trip provider you’ve booked with to discuss specifics of your reservation such as available parking at an accommodation.,none,bookingdotcom_privacy
The data we collect and process includes these communications.,none,bookingdotcom_privacy
"We may block the delivery of communications that we, at our sole discretion, believe might contain malicious content or spam, or pose a risk to you, trip providers, Booking.com, or others.",none,bookingdotcom_privacy
We may also receive information on an aggregated basis from our social media and marketing partners.,none,bookingdotcom_privacy
This helps us measure the effectiveness of advertising and marketing campaigns.,none,bookingdotcom_privacy
"When you link your Booking.com account to a social media account you control, you might trigger exchanges of data between Booking.com and that social media provider.",none,bookingdotcom_privacy
You can always unlink them by updating your Booking.com account settings.,none,bookingdotcom_privacy
We may receive confirming or verifying information about you from third parties.,none,bookingdotcom_privacy
"For example, in order to provide you with a verification badge, we may use a third party to cross-check the information you give us to confirm that it is accurate and belongs to you.",data_sharing,bookingdotcom_privacy
"Back to top Purposes of collecting and processing your personal data We use your personal data for a number of purposes as outlined here: Trip reservations First and foremost, we process your personal data to complete and administer your trip reservation, which is essential to provide this service.",none,bookingdotcom_privacy
"This includes sending you communications that relate to your trip reservation, such as confirmations (including, where applicable, providing you with a proof of purchase and/or payment), modifications, and reminders.",none,bookingdotcom_privacy
"In some cases, this may also include processing your personal data to enable online check-in with the trip provider or processing personal data in relation to possible damage deposits.",none,bookingdotcom_privacy
In addition to your contact details (e.g.,none,bookingdotcom_privacy
"email address, phone number), in order to provide you with services, we may also need reservation identifiers and dates to determine the duration of the reservation.",none,bookingdotcom_privacy
"Customer service We provide our travelers with customer service in more than 40 languages, and we’re here to help 24 hours a day, seven days a week.",none,bookingdotcom_privacy
Sharing reservation information with our global customer service staff is essential to help you when you need us.,none,bookingdotcom_privacy
"This includes, for example, helping you to contact the right trip provider and responding to any questions you might have about your trip reservation.",none,bookingdotcom_privacy
"To do this, we use personal data such as your reservation details, including, for example, the price of your reservation as well as how and when you made the reservation.",none,bookingdotcom_privacy
"User accounts As a user of our services, you can create an account for your use across our platform.",none,bookingdotcom_privacy
