clause,label,source_policy
Hotels logo Shop travel Open app USD US List your property Support Trips Sign in Browse Policies Vrbo terms Privacy Statement Cookie Statement How we order search results Content Guidelines Intellectual property infringement complaints and forms One Key terms pdf TERMS OF SERVICE Last revised: 09-04-2025 Hello and welcome!,none,hotelsdotcom_TOU
We are glad that you are taking the time to read these terms of service (the “Terms”).,none,hotelsdotcom_TOU
"These Terms are important as they, together with your booking confirmation email (the “Booking Confirmation”), set out the legal terms on which Travel Services are made available to you through our Service.",none,hotelsdotcom_TOU
They also cover any interactions or communications you have with us through our Service.,none,hotelsdotcom_TOU
Your use of our Service is subject to these Terms and it is a condition of using our Service that you accept these Terms.,none,hotelsdotcom_TOU
"To book a Travel Service, you must also accept these Terms.",none,hotelsdotcom_TOU
"If you do not accept these Terms, then please do not use our Service or book a Travel Service.",none,hotelsdotcom_TOU
We may make changes to these Terms by updating them at any time and your continued use of our Service after any changes come into effect will constitute your acceptance of the updated Terms.,none,hotelsdotcom_TOU
Any existing bookings will continue to be governed by the Terms that applied to your booking when the booking was made.,none,hotelsdotcom_TOU
We recommend that you save or print a copy of these Terms.,none,hotelsdotcom_TOU
Section 15 (Disputes and arbitration) below contains an arbitration agreement and class action waiver that apply to all claims brought against us in the United States.,arbitration,hotelsdotcom_TOU
"In these Terms: “we"", “us” or “our” refer to Expedia, Inc., a Washington corporation, having its registered office at 1111 Expedia Group Way W, Seattle, WA 98119, USA, which provides our Service ""Content” refers to all text, descriptions, reviews, photographs, images, videos, software, and other content submitted to our Service “our Group of Companies” refers to us, and our subsidiaries and corporate affiliates “our Service” refers to the provision of our websites, apps and online tools “Travel Provider” refers to the travel supplier making available the Travel Services to you through our Service “Travel Services” refers to the travel services made available to you by the relevant Travel Provider(s) through our Service, such as stays at a property or car rental.",none,hotelsdotcom_TOU
"“you” refers to you, the person using our Service.",none,hotelsdotcom_TOU
"Section 1 Rules and Restrictions As well as these Terms, other terms and conditions provided by Travel Providers (such as a property’s terms and conditions or a car rental company’s rental agreement) also apply to your booking (“Rules and Restrictions”).",none,hotelsdotcom_TOU
"To make a booking, you must accept the Rules and Restrictions of the Travel Provider that you select (such as payment of due amounts, cancellation policies, refundability, availability restrictions and use of fares or services, etc.).",refunds,hotelsdotcom_TOU
The relevant Rules and Restrictions are provided to you before you make a booking and are incorporated by reference into these Terms.,none,hotelsdotcom_TOU
"If you violate a Travel Provider's Rules and Restrictions, your booking may be cancelled and you may be denied access to the relevant Travel Service.",none,hotelsdotcom_TOU
"You may also lose any money paid for such booking, depending on the Travel Provider's Rules and Restrictions.",none,hotelsdotcom_TOU
Section 2 Using our Service Our rules We provide our Service to help you find information about Travel Services and to assist you in booking those Travel Services.,none,hotelsdotcom_TOU
It is provided to you for no other purpose.,none,hotelsdotcom_TOU
"You agree that: you will only use our Service for personal and non-commercial purposes you must be at least 18 years of age and have the legal authority to enter into contracts you will use our Service lawfully and in compliance with these Terms all information supplied by you is true, accurate, current and complete if you book on behalf of others: you will obtain their authorization prior to acting on their behalf you will inform them about the terms that apply to the booking (including the Rules and Restrictions) and ensure that they agree to, and will comply with, such terms, and you will be responsible for paying any amounts due, for making any change/cancellation requests and for all other matters relating to the booking.",none,hotelsdotcom_TOU
"You also agree not to: make any false or fraudulent booking access, monitor or copy any content on our Service using any robot, spider, scraper or other automated means or any manual process violate the restrictions in any robot exclusion headers on our Service or bypass or circumvent other measures employed to prevent or limit access to our Service take any action that imposes, or may impose, an unreasonable or large load on our infrastructure deep link to any part of our Service “frame”, “mirror” or otherwise incorporate any part of our Service into any other website.",none,hotelsdotcom_TOU
"Access We may, acting reasonably, deny anyone access to our Service (or any other sites, apps, tools and services you have access to under your Expedia Group Account, as defined below) at any time for any valid reason.",none,hotelsdotcom_TOU
We may also make improvements and changes to our Service at any time.,none,hotelsdotcom_TOU
"Account To make use of all the features available on our Service, you will need to create an account with us (or create an Expedia Group Account, as defined below) and sign in to it.",none,hotelsdotcom_TOU
"To create an account, you must be at least 18 years of age and follow the account creation instructions provided through our Service.",none,hotelsdotcom_TOU
"If you have an account with us, you must: safeguard your account information be responsible for any use of your account by you or others (even those transactions that you did not intend to be performed) notify us immediately of any unauthorized use of your account, and provide us with all necessary information, to the extent required for us to comply with our legal obligations.",none,hotelsdotcom_TOU
"The account you create on our Service also allows you to access other sites, apps, tools and services offered by members of our Group of Companies (including Expedia and Vrbo) using the same account credentials, in addition to our Service (an “Expedia Group Account"").",none,hotelsdotcom_TOU
"Please note that when using your Expedia Group Account, the relevant terms of service displayed on the sites, apps, tools and services that you are using will govern your use of them.",none,hotelsdotcom_TOU
"For information on how to delete your account, sign into your account on our Service and follow the applicable account deletion process or search here.",none,hotelsdotcom_TOU
"For further information about your privacy rights (such as deletion or access), please see our Privacy Statement.",none,hotelsdotcom_TOU
How we order your search results There are many travel options available through our Service and we want to make your search results as relevant as possible.,none,hotelsdotcom_TOU
"At the search results page you will see our default sort order, however you can select how to sort your results and also use filter options to prioritise results based on your chosen preferences, for example price, guest review score, or other criteria.",none,hotelsdotcom_TOU
You can learn more on how we order search results here.,none,hotelsdotcom_TOU
Within your search results we also sometimes display travel options that are paid-for commercial listings from our Travel Providers.,none,hotelsdotcom_TOU
"Such travel options are clearly labelled for your information as “Ad” or similar equivalent labelling, to differentiate them from other travel options.",none,hotelsdotcom_TOU
"Redirection and third-party booking services If you are redirected from our Service to a third-party booking service (such as for car rental) to make a travel booking, please bear in mind that any bookings made through such a booking service will be with the third-party and not with us.",data_sharing,hotelsdotcom_TOU
We are not responsible for bookings made through third-party booking services and we have no liability to you in respect of such a booking.,data_sharing,hotelsdotcom_TOU
The terms and conditions of the third-party service provider will set out what rights you have against them and will explain their liability to you.,data_sharing,hotelsdotcom_TOU
"Section 3 Confirming a booking Your Booking Confirmation includes the essential elements of your booking, such as the description of the Travel Service(s) booked and the price.",none,hotelsdotcom_TOU
We will send your Booking Confirmation and any relevant travel documents to the email address you provide when you book.,none,hotelsdotcom_TOU
"If you do not receive your Booking Confirmation within 24 hours of making your booking, please contact us.",none,hotelsdotcom_TOU
"Section 4 Payment Price The price of the Travel Service(s) will be as displayed on our Service, except in cases of obvious error.",none,hotelsdotcom_TOU
Prices for Travel Services are dynamic and can change at any time.,none,hotelsdotcom_TOU
"Price changes will not affect bookings already accepted, except in cases of obvious error.",none,hotelsdotcom_TOU
"We display many Travel Services, and we try hard to ensure that the displayed price is accurate.",none,hotelsdotcom_TOU
We reserve the right to correct any pricing errors on our Service.,none,hotelsdotcom_TOU
"If there is an obvious error and you have made a booking, we will offer you the opportunity to keep your booking by paying the correct price or we will cancel your booking without penalty.",none,hotelsdotcom_TOU
"We have no obligation to make available Travel Services to you at an incorrect (lower) price even after you have been sent a Booking Confirmation, if the error should reasonably have been apparent to you.",none,hotelsdotcom_TOU
Taxes The prices displayed through our Service may include taxes or tax recovery charges.,none,hotelsdotcom_TOU
"Such taxes or tax recovery charges may include amounts associated with value-added tax, goods and services tax, sales tax, occupancy tax and other taxes of a similar nature.",none,hotelsdotcom_TOU
"Taxes or tax recovery charges are generally calculated or estimated on the prices displayed through our Service before any discounts (including those funded by us), coupons and loyalty rewards that may be applicable to your booking, unless those discounts, coupons and loyalty rewards are considered as a reduction in price for the purposes of calculating or estimating taxes in the relevant jurisdiction for the booking.",none,hotelsdotcom_TOU
"You acknowledge that except as provided below with respect to tax obligations on the amounts received from you, including facilitation fees and service fees where applicable in accordance with Section 6A (Stays) below, our Group of Companies does not collect taxes for remittance to applicable taxing authorities.",none,hotelsdotcom_TOU
The tax recovery charges on Pay Now bookings are a recovery of the estimated taxes that our Group of Companies pay to the Travel Provider for taxes due on the services provided by the Travel Provider (such as for the rental rate for the room).,none,hotelsdotcom_TOU
The Travel Providers are responsible for remitting applicable taxes to the applicable taxing jurisdictions.,none,hotelsdotcom_TOU
Taxability and the appropriate tax rate vary greatly by jurisdiction.,none,hotelsdotcom_TOU
"The actual amounts paid by our Group of Companies to the Travel Providers may vary from the tax recovery charge amounts, depending upon the rates, taxability, etc.",none,hotelsdotcom_TOU
in effect at the time of the actual use of the services provided by the Travel Provider.,none,hotelsdotcom_TOU
"Sales, use and/or local hotel occupancy taxes are imposed on the amounts that our Group of Companies charge for services they provide (service fee and/or facilitation fee) in certain jurisdictions.",none,hotelsdotcom_TOU
The actual amount imposed on services provided by our Group of Companies may vary depending on the rates in effect at the time the services are provided by the Travel Provider.,none,hotelsdotcom_TOU
"In certain jurisdictions, our Group of Companies are responsible for collecting and remitting sales, use and/or local hotel occupancy taxes for the entire price, including the amounts we charge for our services as well as the Travel Services provided by the Travel Provider.",none,hotelsdotcom_TOU
"In certain jurisdictions, you may be responsible for paying local taxes imposed by local tax authorities (such as city taxes or tourist taxes, etc.).",none,hotelsdotcom_TOU
Our Group of Companies or the Travel Provider may charge you such local taxes.,none,hotelsdotcom_TOU
"Our Group of Companies will notify you of any local taxes that will be payable by you before you complete your booking, where such taxes have been notified to our Group of Companies by the Travel Provider.",none,hotelsdotcom_TOU
The amount of local taxes can change between the booking date and stay date.,none,hotelsdotcom_TOU
"If taxes have changed by your stay date, you may be liable to pay taxes at the higher rate.",none,hotelsdotcom_TOU
"Payment processing When payment is taken at the time of your booking and paid for in the local currency of our Service (as relevant), the company taking that payment (via third-party payment processors) and charging your payment method will be the company set out next to the relevant location of our Service in the table below.",data_sharing,hotelsdotcom_TOU
"Location Our company taking your payment Austria, Bahrain, Belgium, Bulgaria, China, Denmark, Egypt, Finland, France, Germany, Greece, Hungary, Iceland, Indonesia, Ireland, Italy, Jordan, Kuwait, Lebanon, Malaysia, Morocco, Netherlands, Norway, Oman, Qatar, Philippines, Portugal, Romania, Saudi Arabia, South Africa, Spain, Sweden, Taiwan, Thailand, Turkey, United Arab Emirates, Vietnam Travel Partner Exchange S.L.",none,hotelsdotcom_TOU
a company registered in Australia Brazil Expedia do Brasil Agência de Viagens e Turismo Ltda.,none,hotelsdotcom_TOU
"Argentina, Chile, Colombia, Costa Rica, Ecuador, El Salvador, Panama, Peru, Venezuela Travelscape, LLC.",none,hotelsdotcom_TOU
"Canada TPX Travel Canada ULC Hong Kong Travel Partner Exchange Hong Kong Limited India Hotels.com India Private Limited, Travel Partner Exchange Singapore Pte.",none,hotelsdotcom_TOU
"Japan Travel Partner Exchange Japan KK Mexico Expedia Mexico, S de R.",none,hotelsdotcom_TOU
New Zealand Travel Partner Exchange New Zealand Ltd.,none,hotelsdotcom_TOU
Singapore Travel Partner Exchange Singapore Pte.,none,hotelsdotcom_TOU
"South Korea Travel Partner Exchange Korea Co., Ltd.",none,hotelsdotcom_TOU
