clause,label,source_policy
Microsoft Privacy Statement Last Updated: November 2025 What's new?,none,microsoft_privacy
"Print Expand All Microsoft Privacy Statement Personal data we collect How we use personal data Reasons we share personal data How to access and control your personal data Cookies and similar technologies Products provided by your organization—notice to end users Microsoft account Collection of data from children Other important privacy information Product-specific details: Artificial Intelligence and Copilot capabilities Enterprise and developer products Productivity and communications products Search and browse Windows Entertainment and related services Windows Mixed Reality Cookies Most Microsoft sites use cookies, small text files placed on your device which web servers utilize in the domain that placed the cookie can retrieve later.",tracking,microsoft_privacy
"We use cookies to store your preferences and settings, help with sign-in, provide personalized ads, and analyze site operations.",tracking,microsoft_privacy
"For more information, see the Cookies and similar technologies section of this privacy statement.",tracking,microsoft_privacy
"Data Privacy Frameworks Microsoft complies with the EU-U.S., UK Extension to the EU-U.S., and Swiss-U.S.",none,microsoft_privacy
"To learn more, see the Where we store and process personal data section, and visit the U.S.",none,microsoft_privacy
Department of Commerce’s Data Privacy Framework website.,none,microsoft_privacy
"Contact us If you have a privacy concern, complaint, or question for the Microsoft privacy team or Data Protection Officer, please visit our privacy support and requests page and click on “Contact the Microsoft privacy team or the Microsoft Data Protection Officer” menu.",none,microsoft_privacy
"For more information about contacting Microsoft, including Microsoft Ireland Operations Limited, see the How to contact us section of this privacy statement.",none,microsoft_privacy
"This privacy statement explains the personal data Microsoft processes, how Microsoft processes it, and for what purposes.",none,microsoft_privacy
"Microsoft offers a wide range of products, including server products used to help operate enterprises worldwide, devices you use in your home, software that students use at school, and services developers use to create and host what’s next.",none,microsoft_privacy
"References to Microsoft products in this statement include Microsoft services, websites, apps, software, servers, and devices.",none,microsoft_privacy
"Please read the product-specific details in this privacy statement, which provide additional relevant information.",none,microsoft_privacy
"This statement applies to the interactions Microsoft has with you and the Microsoft products listed below, as well as other Microsoft products that display this statement.",none,microsoft_privacy
Young people may prefer starting with the Privacy for young people page.,none,microsoft_privacy
That page highlights information that may be helpful for young people.,none,microsoft_privacy
"For individuals in the United States, please refer to our U.S.",none,microsoft_privacy
"State Data Privacy Notice and the Consumer Health Data Privacy Policy for additional information about the processing of your personal data, and your rights under applicable U.S.",none,microsoft_privacy
"Personal data we collect Microsoft collects data from you, through our interactions with you and through our products.",none,microsoft_privacy
"You provide some of this data directly, and we get some of it by collecting data about your interactions, use, and experiences with our products.",none,microsoft_privacy
"The data we collect depends on the context of your interactions with Microsoft and the choices you make, including your privacy settings and the products and features you use.",none,microsoft_privacy
"We also obtain data about you from Microsoft affiliates, subsidiaries, and third parties.",none,microsoft_privacy
"If you represent an organization, such as a business or school, that utilizes Enterprise and Developer Products from Microsoft, please see the Enterprise and developer products section of this privacy statement to learn how we process your data.",none,microsoft_privacy
"If you are an end user of a Microsoft product or a Microsoft account provided by your organization, please see the Products provided by your organization and the Microsoft account sections for more information.",none,microsoft_privacy
You have choices when it comes to the technology you use and the data you share.,none,microsoft_privacy
"When we ask you to provide personal data, you can decline.",none,microsoft_privacy
Many of our products require some personal data to provide you with a service.,none,microsoft_privacy
"If you choose not to provide data -required to provide you with a product or feature, you cannot use that product or feature.",none,microsoft_privacy
"Likewise, where we need to collect personal data by law or to enter into or carry out a contract with you, and you do not provide the data, we will not be able to enter into the contract; or if this relates to an existing product you are using, we may have to suspend or cancel it.",none,microsoft_privacy
We will notify you if this is the case at the time.,none,microsoft_privacy
"Where providing the data is optional, and you choose not to share personal data, features like personalization that use such data will not work for you.",none,microsoft_privacy
"Learn more Back to top How we use personal data Microsoft uses the data we collect to provide you with rich, interactive experiences.",none,microsoft_privacy
"In particular, we use data to: Provide our products, which includes updating, securing, and troubleshooting, as well as providing support.",none,microsoft_privacy
"It also includes sharing data, when it is required to provide the service or carry out the transactions you request.",none,microsoft_privacy
Personalize our products and make recommendations.,none,microsoft_privacy
"Advertise and market to you, which includes sending promotional communications, targeting advertising, and presenting you with relevant offers.",none,microsoft_privacy
"We also use the data to operate our business, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research.",none,microsoft_privacy
"In carrying out these purposes, we combine data we collect from different contexts (for example, from your use of two Microsoft products) or obtain from third parties to give you a more seamless, consistent, and personalized experience, to make informed business decisions, and for other legitimate purposes.",none,microsoft_privacy
Our processing of personal data for these purposes includes both automated and manual (human) methods of processing.,none,microsoft_privacy
Our automated methods often are related to and supported by our manual methods.,none,microsoft_privacy
"For example, to build, train, and improve the accuracy of our automated methods of processing (including artificial intelligence or AI), we manually review some of the output produced by the automated methods against the underlying data.",none,microsoft_privacy
"As part of our efforts to improve and develop our products, we may use your data to develop and train our AI models.",none,microsoft_privacy
Learn more Back to top Reasons we share personal data We share your personal data with your consent or to complete any transaction or provide any product you have requested or authorized.,none,microsoft_privacy
We also share data with Microsoft-controlled affiliates and subsidiaries; with vendors working on our behalf; when required by law or to respond to legal process; to protect our customers; to protect lives; to maintain the security of our products; and to protect the rights and property of Microsoft and its customers.,none,microsoft_privacy
"Please note that, as defined under certain U.S.",none,microsoft_privacy
"state data privacy laws, “sharing” also relates to providing personal data to third parties for personalized advertising purposes.",none,microsoft_privacy
State Data Privacy section below and our U.S.,none,microsoft_privacy
State Data Privacy Laws Notice for more information.,none,microsoft_privacy
Learn more Back to top How to access and control your personal data You can also make choices about the collection and use of your data by Microsoft.,none,microsoft_privacy
"You can control your personal data that Microsoft has obtained, and exercise your data protection rights, by contacting Microsoft or using various tools we provide.",none,microsoft_privacy
"In some cases, your ability to access or control your personal data will be limited, as required or permitted by applicable law.",none,microsoft_privacy
How you can access or control your personal data will also depend on which products you use.,none,microsoft_privacy
"For example, you can: Control the use of your data for personalized advertising from Microsoft, including Xandr, by visiting our opt-out page.",none,microsoft_privacy
"Choose whether you wish to receive promotional emails, SMS messages, telephone calls, and postal mail from Microsoft by visiting our privacy support and requests page.",none,microsoft_privacy
Access and clear some of your data through the Microsoft privacy dashboard.,none,microsoft_privacy
Not all personal data processed by Microsoft can be accessed or controlled via the tools above.,none,microsoft_privacy
"If you want to exercise your data protection rights for your personal data processed by Microsoft that is not available via the tools above or directly through the Microsoft products you use, you can always contact Microsoft at the address in the How to contact us section or by visiting our privacy support and requests page.",none,microsoft_privacy
We provide aggregate metrics about user requests to exercise their data protection rights via the Microsoft Privacy Report.,none,microsoft_privacy
Learn more Back to top Cookies and similar technologies Cookies are small text files placed on your device to store data that can be recalled by a web server in the domain that placed the cookie.,tracking,microsoft_privacy
"We use cookies and similar technologies for storing and honoring your preferences and settings, enabling you to sign in, providing interest-based advertising, combating fraud, analyzing how our products perform, and fulfilling other legitimate purposes.",tracking,microsoft_privacy
"Microsoft apps use additional identifiers, such as the advertising ID in Windows described in the Advertising ID section of this privacy statement, for similar purposes.",none,microsoft_privacy
We also use “web beacons” to help deliver cookies and gather usage and performance data.,tracking,microsoft_privacy
"Our websites may include web beacons, cookies, or similar technologies from Microsoft affiliates and partners as well as third parties, such as service providers acting on our behalf.",tracking,microsoft_privacy
"Third party cookies may include: Social Media cookies designed to show you ads and content based on your social media profiles and activities on our websites; Analytics cookies to better understand how you and others use our websites so that we can make them better, and so the third parties can improve their own products and services; Advertising cookies to show you ads that are relevant to you; and Required cookies used to perform essential website functions.",data_sharing,microsoft_privacy
"Where required, we obtain your consent prior to placing or using optional cookies that are not (i) strictly necessary to provide the website; or (ii) for the purpose of facilitating a communication.",tracking,microsoft_privacy
"Please see the Learn more section below for information about our use of third party cookies, web beacons and analytics services, and other similar technologies on our websites and services.",data_sharing,microsoft_privacy
"For a list of the third parties that set cookies on our websites, including service providers acting on our behalf, please visit our third party cookie inventory.",data_sharing,microsoft_privacy
"On some of our websites, a list of third parties is available directly on the site.",none,microsoft_privacy
The third parties on these sites may not be included in the list on our third party cookie inventory.,data_sharing,microsoft_privacy
"You have a variety of tools to control the data collected by cookies, web beacons, and similar technologies.",tracking,microsoft_privacy
"For example, you can use controls in your internet browser to limit how the websites you visit are able to use cookies and to withdraw your consent by clearing or blocking cookies.",tracking,microsoft_privacy
"Learn more Back to top Products provided by your organization—notice to end users If you use a Microsoft product with an account provided by an organization you are affiliated with, such as your work or school account, that organization can: Control and administer your Microsoft product and product account, including controlling privacy-related settings of the product or product account.",none,microsoft_privacy
"Access and process your data, including the interaction data, diagnostic data, and the contents of your communications and files associated with your Microsoft product and product accounts.",none,microsoft_privacy
"If you lose access to your work or school account (in event of change of employment, for example), you may lose access to products and the content associated with those products, including those you acquired on your own behalf, if you used your work or school account to sign in to such products.",none,microsoft_privacy
"Many Microsoft products are intended for use by organizations, such as schools and businesses.",none,microsoft_privacy
Please see the Enterprise and developer products section of this privacy statement.,none,microsoft_privacy
"If your organization provides you with access to Microsoft products, your use of the Microsoft products is subject to your organization's policies, if any.",none,microsoft_privacy
"You should direct your privacy inquiries, including any requests to exercise your data protection rights, to your organization’s administrator.",none,microsoft_privacy
"When you use social features in Microsoft products, other users in your network may see some of your activity.",none,microsoft_privacy
"To learn more about the social features and other functionality, please review documentation or help content specific to the Microsoft product.",none,microsoft_privacy
