clause,label,source_policy
Waze Privacy Policy Waze Mobile Limited respects your privacy.,none,waze
"Waze Mobile Limited and its affiliates (“Waze” or the “Company”) offer mapping, GPS navigation, community based services to users of www.waze.com (the “Website”) and/or users of Waze’s applications (the “Application”) (collectively referred to as the “Services”).",none,waze
"When you use our services, you’re trusting us with your information.",none,waze
We understand this is a big responsibility and work hard to protect your information and put you in control.,none,waze
"This Privacy Policy is meant to help you understand what information we collect, why we collect it, and how you can update, manage, and delete your information.",none,waze
This Privacy Policy covers: User Accounts & Accessing the Services Information that is being collected Why Waze collects data Sharing your information Visibility Integration with social networks Integration with other third party services Controlling your personal information How Waze retains data we collect How does Waze use aggregated information Cookies Advertising campaigns Information security Compliance & cooperation with regulators Changes to this Privacy Policy To use our Services you must be 16 years of age or older.,data_sharing,waze
"If you are under 16, you may not download or use the Services.",none,waze
"In this Privacy Policy, the term “personal information” means information that you provide to us that personally identifies you, such as your name, email address or billing information, and, in certain circumstances, your location and route information or other data which can be reasonably linked to such information by Waze.",none,waze
You can adjust your Privacy Settings in the Waze app and choose which personal information we may collect about you and how your information is used.,none,waze
"Contact Waze - Privacy concerns reports If you have any questions about this Privacy Policy, or if you believe that your privacy has been compromised in the course of using the Services, please contact Waze at: privacy@waze.com.",none,waze
"You may send Waze other requests, responses, questions and complaints by email at: support@waze.com.",none,waze
"User Accounts & Accessing the Services Please note that when you use our Services , Waze will set up an account (the “Account” or “Waze Account”).",none,waze
"Waze will collect and use your information, including meta-data (as described below), in accordance with this Privacy Policy.",none,waze
"This is the case whether or not you choose to actively register your Account, for example, by adding your email address or logging in with your Google Account.",none,waze
Waze may allow you to use the Services whether or not you choose to register your Account.,none,waze
If you choose to use the Waze Services without registering your account you may do so by skipping the registration process.,none,waze
If you do so: Waze will still link all of your information with the non-registered Account and a unique identifier generated by Waze in accordance with this Privacy Policy.,none,waze
This helps us do things like find you the best route.,none,waze
"Waze may allow you to connect your non-registered account with other devices and browsers (for example by using a QR code) and, if you choose to do so, information collected from these devices and browsers will be linked to your non-registered account.",none,waze
"With the exception described in the bullet below, and as explained in the section “Visibility” below, your Account and the information associated with your Account (including your internal unique identifier) will be visible only to Waze; and When using the Services, your approximate location and other information you may choose to contribute will be visible to other users associated with the general username “Wazer”.",none,waze
"Note that in order to access certain features of the Services (for example map editing, ranking, moods) you will need to register your account.",none,waze
If you do register your Account: Waze will link all of your information with your registered Account.,none,waze
"This includes information received from all devices and browsers which you have chosen to sign in; With the exception described in the bullet below and as explained in the section “Visibility” below, your Account and information associated with your Account (including your internal unique identifier) will be visible only to Waze; and When using the Services, your approximate location and other information you may choose to contribute will be visible to other users associated with this Account.",none,waze
Waze may also establish and require from time to time additional or different means of identification and authentication for logging in and accessing the Services or for accessing certain features or designated sections of the Services.,none,waze
Your login details are your responsibility.,none,waze
You are fully accountable for any use or misuse of your Account and personal details as a result of conveying your login details to someone else.,none,waze
You must maintain your login details in absolute confidentiality and avoid disclosing them to others.,none,waze
"If you set a password, make sure that you change your password frequently and at least once every six months.",none,waze
"Information that is being collected We want you to understand the types of information we collect as you use our services Waze collects information to provide better services to all its users - from figuring out stuff like what’s the best route, to more complex things like monitoring traffic so you know when to leave, and showing you relevant ads while using Waze.",none,waze
"The information Waze collects, and how that information is used, depends on how you choose to use our services and how you manage your privacy controls.",none,waze
"Information you create or provide to us: Account Information: information required when setting up an Account, such as your name or email address.",none,waze
"Bear in mind that false, incorrect, or out-dated information may impair Waze’s ability to provide you with the Services and to contact you when necessary.",none,waze
Waze will explicitly indicate the fields for mandatory completion.,none,waze
